,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
0,1.62128e+00,1.11915e-01,2.59943e+00,2.33158e+00,8.33198e-02,2.35294e+00,2.73006e+00,1.79072e+00,3.24874e+00,1.19728e+00,1.78925e+00,1.85082e+00,3.06503e+00
1,1.26130e+00,1.44725e-01,3.49849e-01,4.85453e-01,1.15690e+00,2.44825e-01,2.88355e+00,2.83084e-01,2.45394e+00,1.60283e+00,1.79387e+00,3.19206e+00,1.60306e+00
2,1.55915e+00,1.34896e-01,8.49108e-01,3.06729e+00,1.86162e+00,1.59480e+00,3.18866e+00,5.01466e-01,3.27669e+00,4.16122e-01,3.00556e+00,8.62159e-01,3.13495e+00
3,1.42446e+00,1.52823e-01,1.67009e+00,2.92776e+00,3.02685e+00,2.48905e+00,3.25983e+00,4.22203e-01,1.00428e+00,3.72491e-01,3.15197e+00,1.83982e-01,1.94791e+00
4,1.39836e+00,1.31385e-01,6.65268e-01,2.14020e+00,1.60226e+00,1.55442e+00,7.87235e-01,1.28253e+00,2.94956e+00,1.31502e+00,2.79302e+00,2.51419e-01,1.24283e+00
5,1.48519e+00,9.98853e-02,2.10893e+00,1.53379e+00,1.23390e-01,1.22550e+00,1.72373e+00,7.55197e-01,5.66623e-02,7.36464e-01,1.79072e-01,3.15023e+00,3.00715e+00
6,1.47050e+00,1.54762e-01,2.49380e+00,2.67474e+00,6.04270e-01,2.57020e+00,1.69913e+00,1.45265e+00,2.64988e+00,1.23169e+00,1.26506e+00,4.81338e-01,1.74058e+00
7,1.51482e+00,9.32685e-02,1.41762e+00,2.22246e+00,7.61047e-02,3.27793e+00,3.86004e-01,1.10135e+00,2.93896e+00,3.22370e+00,1.31515e+00,1.96113e+00,9.51594e-01
8,1.27323e+00,1.21089e-01,3.03530e+00,3.30345e+00,7.31417e-01,2.65093e-01,9.53601e-01,2.53683e+00,1.76237e+00,2.70813e+00,2.75849e+00,2.60098e+00,3.36262e+00
9,1.40112e+00,1.77012e-01,6.98594e-01,1.51692e+00,1.43091e+00,1.31624e-02,2.21542e+00,1.59295e+00,1.01437e+00,5.61426e-01,3.02700e-02,2.87497e+00,2.76732e-01
